id,name,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Group,group_n
2qUZliZ9NHUYIAZqRNe6pZ,GOT IT GOOD,spotify:track:2qUZliZ9NHUYIAZqRNe6pZ,"KAYTRANADA, Craig David, ",0.0475,0.606,228147,0.503,0.0,7,0.11599999999999999,-6.678,0,0.155,80.04,4.0,0.325,dinner,0
0qweeIYNNLMlGrX4czWMi1,Something,spotify:track:0qweeIYNNLMlGrX4czWMi1,"Phonte, Eric Roberson, ",0.0156,0.639,288109,0.6659999999999999,3.81e-06,5,0.31,-7.943,0,0.0549,88.01899999999999,4.0,0.542,dinner,0
4MmwyJaWLDXjjWzXQti4cl,Deep Waters,spotify:track:4MmwyJaWLDXjjWzXQti4cl,"Incognito, ",0.354,0.6859999999999999,395067,0.6409999999999999,3.5799999999999996e-05,1,0.0751,-9.625,0,0.031,153.683,4.0,0.9,dinner,0
6W2bTxfCjQSgQHwH2LgbGC,There’s Nothing Like This (feat. Pino Palladino),spotify:track:6W2bTxfCjQSgQHwH2LgbGC,"Omar, Pino Palladino, ",0.466,0.563,321813,0.5489999999999999,0.00302,3,0.369,-8.802,1,0.0587,155.75,4.0,0.6729999999999999,dinner,0
7muWyt73NWsGW3aPV1YILN,Cloud 9 - Main,spotify:track:7muWyt73NWsGW3aPV1YILN,"Donnie, ",0.16699999999999998,0.632,308453,0.731,0.0,8,0.0305,-7.182,1,0.348,92.088,4.0,0.675,dinner,0
46ojXpU8hKUPFiDhBwUt6J,The Ingredients Of Love - Duet w/ Musiq Soulchild,spotify:track:46ojXpU8hKUPFiDhBwUt6J,"Angie Stone, Musiq Soulchild, ",0.26,0.514,236240,0.737,0.0,8,0.222,-5.25,0,0.308,78.806,4.0,0.65,dinner,0
1GWVyqmjhJkUfqaJwUk8Xi,Lake By the Ocean,spotify:track:1GWVyqmjhJkUfqaJwUk8Xi,"Maxwell, ",0.49,0.608,239027,0.652,0.0,4,0.348,-4.843999999999999,0,0.0953,76.02,4.0,0.373,dinner,0
0AZTkbO9umWmABq28mfkle,Love Natural,spotify:track:0AZTkbO9umWmABq28mfkle,"Frank Mccomb, ",0.6629999999999999,0.64,415827,0.6779999999999999,0.0244,11,0.128,-7.945,0,0.065,86.71799999999999,4.0,0.46299999999999997,dinner,0
79UjqYt9MCLlBpzAvaKVJj,In Love With You,spotify:track:79UjqYt9MCLlBpzAvaKVJj,"Erykah Badu, ",0.583,0.722,321000,0.27399999999999997,0.0,9,0.17300000000000001,-12.727,0,0.0696,132.505,4.0,0.647,dinner,0
4dlh921u5Ojn59FK2TOC24,Beautiful Surprise,spotify:track:4dlh921u5Ojn59FK2TOC24,"India.Arie, ",0.389,0.452,148701,0.22899999999999998,0.0,9,0.14300000000000002,-11.802,1,0.0421,76.131,4.0,0.355,dinner,0
22Ixvd6v1ofmishJchJfvN,No Limit,spotify:track:22Ixvd6v1ofmishJchJfvN,"Kindred The Family Soul, ",0.55,0.363,216813,0.677,0.0,1,0.158,-6.699,0,0.474,185.426,4.0,0.496,dinner,0
767PVupkn44LW4Mt9ZpKAV,Take Me Away,spotify:track:767PVupkn44LW4Mt9ZpKAV,"John Legend, ",0.41200000000000003,0.732,183173,0.642,0.0,3,0.135,-6.148,1,0.0573,89.98299999999999,4.0,0.765,dinner,0
4ev5Rkbz4eBHm447hrf7pZ,So Into You,spotify:track:4ev5Rkbz4eBHm447hrf7pZ,"Ledisi, ",0.00965,0.68,227640,0.489,1.42e-05,1,0.0737,-6.496,1,0.0778,82.42399999999999,4.0,0.552,dinner,0
4iuNZTcvT9diFySSzVsnVS,When I See U,spotify:track:4iuNZTcvT9diFySSzVsnVS,"Fantasia, ",0.457,0.569,217347,0.596,8.99e-05,8,0.205,-6.486000000000001,1,0.171,93.134,4.0,0.764,dinner,0
7gEGhEb1VcCeC6lJWnjI9Z,Love No Limit,spotify:track:7gEGhEb1VcCeC6lJWnjI9Z,"Mary J. Blige, ",0.172,0.547,299627,0.693,0.0026899999999999997,11,0.052000000000000005,-7.774,0,0.0526,169.65900000000002,4.0,0.595,dinner,0
0HrrWZIJ7hR7C0JmDZ2uvN,So Amazing,spotify:track:0HrrWZIJ7hR7C0JmDZ2uvN,"Luther Vandross, ",0.49,0.626,221773,0.35600000000000004,3.1e-05,3,0.225,-13.046,0,0.0332,128.588,4.0,0.304,dinner,0
1JPJQLSYAvPp4qnzC8Uk6Y,Lovin' You,spotify:track:1JPJQLSYAvPp4qnzC8Uk6Y,"The O'Jays, ",0.609,0.627,317907,0.42200000000000004,1.7100000000000002e-05,7,0.18600000000000003,-10.814,1,0.0366,74.824,4.0,0.588,dinner,0
5Ikg1hHVz53mrytVXGrztN,"Love, Need And Want You",spotify:track:5Ikg1hHVz53mrytVXGrztN,"Patti LaBelle, ",0.84,0.5660000000000001,300120,0.494,0.0,4,0.322,-9.36,1,0.0496,150.69899999999998,4.0,0.505,dinner,0
4KWRdYADKz1Fo1eLXWuMLi,All I Ever Think About,spotify:track:4KWRdYADKz1Fo1eLXWuMLi,"Chrisette Michele, ",0.292,0.639,220827,0.7240000000000001,0.0,8,0.11,-4.538,1,0.08199999999999999,125.65899999999999,4.0,0.557,dinner,0
13fIg7eB5MP9slSQayHhjH,Let's Stay Together - Midnight Mix,spotify:track:13fIg7eB5MP9slSQayHhjH,"Eric Benét, ",0.517,0.769,286973,0.322,0.0,6,0.07200000000000001,-6.615,1,0.0373,102.111,4.0,0.37200000000000005,dinner,0
3afeZ81GDy59tATovKyH6Z,I Know You Know,spotify:track:3afeZ81GDy59tATovKyH6Z,"Esperanza Spalding, ",0.758,0.607,225200,0.42700000000000005,0.0111,2,0.0961,-11.417,0,0.0758,89.306,4.0,0.77,dinner,0
25SXTm4vpejjWXqQrUftkO,Someone To Love,spotify:track:25SXTm4vpejjWXqQrUftkO,"Mint Condition, ",0.215,0.525,320093,0.5670000000000001,1.92e-06,2,0.358,-7.029,1,0.0356,141.877,4.0,0.314,dinner,0
4cVWa9vuwfPOukSIZN9012,How Many Ways,spotify:track:4cVWa9vuwfPOukSIZN9012,"Toni Braxton, ",0.0682,0.688,288093,0.758,0.0,10,0.192,-6.452999999999999,0,0.0819,77.906,4.0,0.7170000000000001,dinner,0
